codigo;descripcion;categoria
128007;TUT AO P/FRAC EXP GRAVES TRAT URG NAC.;Osteosíntesis
128008;TUTOR EXTERNO DE MUNECA NAC.;Osteosíntesis
128016;TUT AO P/FRAC EXP GRAVES TRAT URG IMP.;Osteosíntesis
128017;TUTOR EXTERNO DE MUNECA IMP.;Osteosíntesis
128018;TUT EXT ILIZAROV IMP;Osteosíntesis
128019;TUTOR DE RECONSTRUCCION FEMUR, TIBIA O HUMERO LRS;Osteosíntesis
128020;TUTOR DE RECONSTRUCCION FEMUR, TIBIA O HUMERO LRS;Osteosíntesis
177006;ARPONES P/TECN ARTROSCOPICA BIODEG IMP;Osteosíntesis
200618;CAPSULA ENDOSCOPICA;CX General
202500;STENT CUB.P/ ANEURISMA ARTERIAL PER. BALON EXPAND;Cardiología
240100;CATETERES;CX General
240200;BOMB.INFUSION PORTATIL;Diabetes
240201;RESERVORIOS P/BOMBA;Diabetes
240202;SET DE INFUSION P/ BOMBA;Diabetes
240204;BOMBAS PORT.INFUSION DE QUIMIO(ELAST);CX General
240300;BOMB.INFUSION IMPLANTADA;CX General
240400;FILTRO PARA GLOBULOS ROJOS;CX General
240401;FILTROS DESLEUCOCITADORES P/GLOBULOS RO;CX General
240402;FILTROS DESLEUCOCITADORES PARA PLAQUETAS;CX General
240500;AGUJAS PARA PUNCION BIOPSIA DE MEDILA OSEA;CX General
240501;AGUJAS PARA ASPIRACION DE MEDULA OSEA;CX General
270100;FILTROS P/HEMODIALISIS;CX General
270101;CATETERES P/DIALISIS DOBLE LUMEN;CX General
270102;CATETER DOBLE LUMEN P/HEMODIALISIS 12FR;CX General
270300;SET PARA NEFRACTOMIA PERCUTANEA;CX General
270301;SET NEFROSTOMIA F 12 COMP C/ BALON DIL;CX General
370000;MATERIAL DESCARTABLE;CX General
370001;APOSITO DE PROTECTOR AUTOADHESIVO TRANSPARENTE PAR;Enfermería
370100;AGUJAS DE PUNCION;CX General
370101;MATERIAL P/CURACION;Enfermería
370102;JERINGA DESCARTABLE 60 CC;Enfermería
370103;JERINGA DESCARTABLE TOOMEY;Enfermería
370106;SOLUCION SALINA ESTERIL AL 9% (SUERO FISIOLOGICO);Enfermería
370107;AGUJA DE BIOPSIA PARA ECO ENDOSCOPÍA DIGESTIVA;CX General
370111;APOSITO DE HIDROCOLOIDE (AUTOADHESIVO O NO) EN TOD;CX General
370112;APOSITO DE HIDROCOLOIDE TRANSPARENTE EN TODAS SUS;CX General
370113;APOSITO DE HIDROCOLOIDE CON ALGINATO DE CALCIO, CO;CX General
370114;HIDROCOLOIDE EN PASTA;CX General
370115;HIDROCOLOIDE EN POLVO;CX General
370121;APOSITO DE ALGINATO DE CALCIO EN TODAS SUS FORMAS;Enfermería
370122;APOSITO DE ALGINATO DE CALCIO Y PLATA EN TODAS SU;Enfermería
370123;ALGINATO DE CALCIO EN TIRAS O FILLER EN ROLLOS;CX General
370131;HIDROGEL, HIDROGEL ESTERIL, HIDROGEL ESTERIL SIN A;CX General
370141;APOSITO DE ESPUMA DE POLIURETANO (AUTOADHESIVO O N;Enfermería
370142;APOSITO DE ESPUMA DE POLIURETANO CON PLATA (NO ADH;Enfermería
370161;APOSITO HIDROPOLIMERICO (AUTOADHESIVO O NO) EN TO;Enfermería
370171;APOSITO DE CARBOXIMETILCELULOSA EN TODAS SUS FORM;Enfermería
370172;APOSITO DE CARBOXIMETILCELULOSA Y ALGINATO DE CALC;Enfermería
370181;SOLUCION POLIHEXANIDA Y UNDECILENAMIDOPROPIL BETAI;Enfermería
370191;ACIDOS GRASOS HIPEROXIGENADOS (A.G.H.O.) EN TODAS;Enfermería
370404;OXIMETRO DE PULSO;Oxigenoterapia
370406;MASCARA PARA SISTEMA DE VENTILACION NO INVASIVA;Oxigenoterapia
370407;VENTILADOR A PRESION POSITIVA;Oxigenoterapia
370409;NEBULIZADOR TIPO RAIN DROP;Oxigenoterapia
370410;JARRA P/HUMIFICADOR;Oxigenoterapia
370411;FILTRO /OXIGENOTERAPIA;Oxigenoterapia
370412;OXICAGNOGRAFO;Oxigenoterapia
370500;SUTURAS QUIRURGICAS;CX General
370700;AEROCAMARA;Oxigenoterapia
371200;RESUCITADOR MANUAL -AMBU.-;CX General
371202;CANULA NASAL P/OXIG.SILICONADA;Oxigenoterapia
380110;COMPRAS - CAMA ORTOPEDICA;Ortopedia y Movilidad
380111;COMPRAS - CAMA ORTOPEDICA CON BARANDA;Ortopedia y Movilidad
380112;COMPRAS - CAMA ORTOPEDICA CON BARANDA Y TRAPECIO;Ortopedia y Movilidad
380113;COMPRAS - CAMA ORTOPEDICA TRAPECIO;Ortopedia y Movilidad
380114;COMPRAS - CAMA ORTOPEDICA RESPALDO DESMONTABLE;Ortopedia y Movilidad
380120;STOCK - CAMA ORTOPEDICA;Ortopedia y Movilidad
380121;STOCK - CAMA ORTOPEDICA CON BARANDA;Ortopedia y Movilidad
380122;STOCK - CAMA ORTOPEDICA CON BARANDA Y TRAPECIO;Ortopedia y Movilidad
380123;STOCK - CAMA ORTOPEDICA TRAPECIO;Ortopedia y Movilidad
380124;STOCK - CAMA ORTOPEDICA RESPALDO DESMONTABLE;Ortopedia y Movilidad
380201;SILLON CON BASINILLA;Ortopedia y Movilidad
380204;SILLON DE PASEO P/NINO;Ortopedia y Movilidad
380206;REPARACION SILLON DE RUEDAS;Ortopedia y Movilidad
380210;COMPRAS - SILLON DE RUEDAS ESTANDAR;Ortopedia y Movilidad
380212;COMPRAS - SILLON PARA BANO;Ortopedia y Movilidad
380213;COMPRAS - SILLON DE RUEDAS ESTANDAR CON PERNERA;Ortopedia y Movilidad
380215;COMPRAS - SILLON DE RUEDAS JUNIOR;Ortopedia y Movilidad
380217;COMPRAS - SILLON DE RUEDAS JUNIOR CON PERNERA;Ortopedia y Movilidad
380220;STOCK - SILLON DE RUEDAS ESTANDAR;Ortopedia y Movilidad
380222;STOCK - SILLON PARA BANO;Ortopedia y Movilidad
380223;STOCK - SILLON DE RUEDAS ESTANDAR CON PERNERA;Ortopedia y Movilidad
380225;STOCK - SILLON DE RUEDAS JUNIOR;Ortopedia y Movilidad
380227;STOCK - SILLON DE RUEDAS JUNIOR CON PERNERA;Ortopedia y Movilidad
380250;SISTEMA DE VACÍO Y COMPACTACIÓN(SI.VA.CO.) O TPN;Ortopedia y Movilidad
380301;ANDADOR P/NINO C/RUEDAS;Ortopedia y Movilidad
380310;COMPRAS - ANDADOR CUADRUPLE;Ortopedia y Movilidad
380312;COMPRAS - ANDADOR PLEGABLE CON RUEDAS;Ortopedia y Movilidad
380313;COMPRAS - ANDADOR PLEGABLE;Ortopedia y Movilidad
380320;STOCK - ANDADOR CUADRUPLE;Ortopedia y Movilidad
380322;STOCK - ANDADOR PLEGABLE CON RUEDAS;Ortopedia y Movilidad
380323;STOCK - ANDADOR PLEGABLE;Ortopedia y Movilidad
380401;BASTON CANADIENSE PARA NIÑO;Ortopedia y Movilidad
380410;COMPRAS - BASTON CANADIENSE;Ortopedia y Movilidad
380420;STOCK - BASTON CANADIENSE;Ortopedia y Movilidad
380510;COMPRAS - BASTON TRIPODE;Ortopedia y Movilidad
380520;STOCK - BASTON TRIPODE;Ortopedia y Movilidad
380600;BASTONES;Ortopedia y Movilidad
380601;BASTON DE 4 PUNTOS;Ortopedia y Movilidad
380603;BASTON PIRAMIDAL;Ortopedia y Movilidad
380612;COMPRAS - BASTON DE UN PUNTO;Ortopedia y Movilidad
380614;COMPRAS - BASTON BLANCO;Ortopedia y Movilidad
380615;COMPRAS - BASTON VERDE;Ortopedia y Movilidad
380622;STOCK - BASTON DE UN PUNTO;Ortopedia y Movilidad
380710;COMPRAS - PAR DE MULETAS;Ortopedia y Movilidad
380720;STOCK - PAR DE MULETAS;Ortopedia y Movilidad
380800;SILLON PARA ENCEFALOPATIA;Ortopedia y Movilidad
380801;ADAPTADOR PARA SILLON P/ENCEFALOPATIA;Ortopedia y Movilidad
381010;COMPRAS - ALMOHADON ANTIESCARA CON GEL;Ortopedia y Movilidad
381101;SILLON REFORZADO STANDART;Ortopedia y Movilidad
381110;COMPRAS - SILLON DE RUEDAS PACIENTES MAS DE 100KG;Ortopedia y Movilidad
381200;SILLON DE RUEDAS ELECTRICO;Ortopedia y Movilidad
381201;REPARACION SILLON ELECTRICO;Ortopedia y Movilidad
381310;COMPRAS - ELEVADOR DE INODORO;Ortopedia y Movilidad
381311;COMPRAS - INODORO PORTATIL CON PATAS;Ortopedia y Movilidad
381402;COMPRAS ELEVADOR HIDRÁULICO PARA PACIENTES;Ortopedia y Movilidad
381403;STOCK ELEVADOR HIDRÁULICO PARA PACIENTES;Ortopedia y Movilidad
381404;BRAZO HIDRÁULICO PARA PILETAS;Ortopedia y Movilidad
381500;ANDADOR C/RUEDA;Ortopedia y Movilidad
381701;COLCHON ANTIESCARAS C/MOTOR SECUENCIAL;Ortopedia y Movilidad
381710;COMPRAS - COLCHON ANTIESCARAS CON COMPRESOR;Ortopedia y Movilidad
381810;COMPRAS - ARO ANTIESCARA;Ortopedia y Movilidad
381900;SILLON DE RUEDAS PARA BIAMPUTADOS;Ortopedia y Movilidad
390000;MEDICAMENTOS FUERA DE CONVENIO;Sin clasificar
391502;SENSOR FREE STYLE O SIMILAR;Diabetes
391503;LECTOR FREE STYLE;Diabetes
391504;SISTEMA FLASH DE MONITOREO CONTINUO DE GLUCOSA;Diabetes
391505;RECEPTOR PARA SISTEMA MONITOREO CONTINUO GLUCOSA;Diabetes
391506;SENSORES PARA SISTEMA MONITOREO CONTINUO GLUCOSA;Diabetes
391507;TRANSMISOR PARA SISTEMA MONITOREO CONTINUO GLUCOSA;Diabetes
391508;MICROINFUSORA DE INSULINA;Diabetes
391509;SENSORES PARA MICROINFUSORA DE INSULINA;Diabetes
391510;BASE DE BOMBA;Diabetes
391511;APLICADOR;Diabetes
391512;DESCARTABLES DE INSULINA;Diabetes
391600;SEMILLAS DE BRAQUITERAPIA;CX General
400000;DESCARTABLES;Sin clasificar
400100;ASPIRADOR (FIJO CON VASOS);Oxigenoterapia
400101;ASPIRADOR MANUAL (PISTOLA);Oxigenoterapia
400102;VASOS PARA ASPIRADOR;Oxigenoterapia
400103;ASPIRADOR PORTATIL A BATERIA;Oxigenoterapia
400200;COLCHON AIRE /AGUA;Ortopedia y Movilidad
400202;FILTROS PARA QUIMIOTERAPIA;CX General
400300;PIEL MEDICA;CX General
400400;BIPEDESTADOR;Ortopedia y Movilidad
400510;COMPRAS - TALONERA;Ortopedia y Movilidad
400511;COMPRAS - BOTA WALKER;Ortopedia y Movilidad
400600;ACCESORIO PARA ELEMENTOS MÉDICOS-PLUMAS O SILLONES;Ortopedia y Movilidad
430000;OXIGENOTERAPIA;Oxigenoterapia
435803;ALQUILER ASISTENTE PARA TOS - COUGH ASSIST;Oxigenoterapia
436300;MOD6.B LOC BPAP C/FREC DE BACK UP SFROS;Oxigenoterapia
500100;TRASLADO EN AMBULANCIA;Traslados
600000;BENEFICIOS DE EXCEPCION;Sin clasificar
600300;B.E.AUDIFONO;Audiología
600304;B.E.REPARACION IMPLANTE COCLEAR;Audiología
600305;B.E.IMPLANTE COCLEAR;Audiología
600404;PLUMA HIDRAULICA;Ortopedia y Movilidad
601220;B.E.CALZADO ORTOPEDICO;Ortopedia y Movilidad
603702;B.E.BOMBA DE PRESION NEGATIVA;CX General
603802;B.E.REPARACION SILLON DE RUEDAS ELECT;Ortopedia y Movilidad
730207;VALVULA DE HEIMLICH;CX General
740305;STENT TRAQUEAL;CX General
750012;PROTESIS PENEANAS;CX General
750023;SET DE CALIBRADORES VAGINALES;CX General
751300;PPROTESIS DE RECONSTRUCCION HEMIPELVICA;Prótesis
762003;ALAMBRE;Osteosíntesis
762049;TORNILLO BIOTENODESIS;Osteosíntesis
762119;PLACA OSTEOSINTESIS BIOABSORBIBLE DE 1,5 A 2;Osteosíntesis
762120;PLACA DE FIJACION DISTAL;Osteosíntesis
